company_id,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Company Name,Company Rating
168,"Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1,Acuity Insurance,4.8
169,"New York, NY",1001 to 5000 employees,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),"Expedia Group, Orbitz Worldwide, Priceline.com",Fareportal,3.8
170,"Washington, DC",10000+ employees,1930,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,"Veterans Affairs, Veterans Health Administration",3.4
171,"Dallas, TX",201 to 500 employees,1999,Subsidiary or Business Segment,Consulting,Business Services,Unknown / Non-Applicable,-1,Credera,4.3
172,"Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1,Spectrum Communications and Consulting,3.4
173,"Seoul, South Korea",1001 to 5000 employees,1997,Company - Public,Video Games,Media,$10+ billion (USD),"Blizzard Entertainment, Riot Games, Electronic Arts",NCSOFT,3.1
174,"Dayton, OH",1001 to 5000 employees,1981,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,"Old Dominion Freight, Pitt Ohio Express","Dayton Freight Lines, Inc.",4.3
175,"San Luis Obispo, CA",501 to 1000 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1,Community Action Partnership of San Luis Obispo,2.8
176,"San Francisco, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,TrueAccord,3.4
177,"Akron, OH",201 to 500 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1,DRB Systems,4.0
178,"Cherry Hill, NJ",201 to 500 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Corcentric,3.7
179,"Arlington, VA",201 to 500 employees,2019,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,U.Group,3.5
180,"Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,Systems Evolution Inc.,4.7
181,"San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD),"See Tickets, TicketWeb, Vendini",Eventbrite,4.4
182,"Chicago, IL",501 to 1000 employees,2001,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Mediaocean, The Trade Desk, MediaMath",Centro,4.1
183,"Reston, VA",1001 to 5000 employees,1999,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD),"Nielsen, Hitwise, Coremetrics",comScore,2.5
184,"Chicago, IL",201 to 500 employees,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Mercer, Korn Ferry, Integrated Healthcare Strategies",SullivanCotter,4.2
185,"Port Washington, NY",1001 to 5000 employees,1966,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),-1,NPD,3.9
186,"Austin, TX",1 to 50 employees,2010,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,Bakery Agency,4.3
187,"Providence, RI",501 to 1000 employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,UnitedHealth Group,Blue Cross & Blue Shield of Rhode Island,3.4
188,"Omaha, NE",1001 to 5000 employees,1917,Nonprofit Organization,Social Assistance,Non-Profit,Unknown / Non-Applicable,"Boys & Girls Clubs of America, AdoptUSKids, Foster Care to Success",Boys Town,3.8
189,"Washington, DC",501 to 1000 employees,1883,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,The HSC Health Care System,3.3
190,"Alexandria, VA",201 to 500 employees,2006,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,Pro-Sphere Tek,3.4
191,"Lincoln, NE",1001 to 5000 employees,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),-1,Ameritas Life Insurance Corp,3.0
192,"Richmond, VA",1001 to 5000 employees,2004,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"MetLife, Northwestern Mutual, Prudential",Genworth,3.7
193,"Santa Ana, CA",51 to 200 employees,2000,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),-1,Trace Data,3.9
194,"Boise, ID",501 to 1000 employees,2004,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1,Clearwater Analytics,4.2
195,"Pleasanton, CA",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,"Tekvalley, Corp.",4.0
196,"Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),-1,BWX Technologies,3.5
197,"Pella, IA",1001 to 5000 employees,1948,Company - Private,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),"Caterpillar, John Deere, CNH Industrial",Vermeer,3.9
198,"Mumbai, India",10000+ employees,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,"Infosys, Accenture, Capgemini",L&T Infotech,3.5
199,"Toms River, NJ",501 to 1000 employees,1902,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD),-1,OceanFirst Financial,4.3
200,"New York, NY",1001 to 5000 employees,1744,Company - Public,Auctions & Galleries,Retail,$500 million to $1 billion (USD),-1,Sotheby's,3.6
201,"Washington, DC",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,Vanda Pharmaceuticals,2.3
202,"Palo Alto, CA",1 to 50 employees,2007,Company - Private,K-12 Education,Education,Unknown / Non-Applicable,-1,CK-12 Foundation,4.1
203,"Waltham, MA",51 to 200 employees,1987,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,Opinion Dynamics,4.2
204,"Reston, VA",501 to 1000 employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Applied Information Sciences,4.6
205,"Charlotte, NC",201 to 500 employees,1929,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),"McKim and Creed, CDM Smith, Kimley-Horn",WK Dickson,4.4
206,"San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",Southwest Research Institute,3.9
207,"San Francisco, CA",201 to 500 employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable,-1,Muso,-1.0
208,"Denver, CO",501 to 1000 employees,1993,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$50 to $100 million (USD),"Geometry Global, TracyLocke, Saatchi & Saatchi X",The Integer Group,2.2
209,"San Francisco, CA",201 to 500 employees,2008,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,Samba TV,3.3
210,"West Palm Beach, FL",201 to 500 employees,1991,Company - Public,Telecommunications Manufacturing,Telecommunications,$50 to $100 million (USD),-1,SV Microwave,3.4
211,"Redwood City, CA",501 to 1000 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Splunk, Datadog, Elastic",Sumo Logic,3.8
212,"Washington, DC",1001 to 5000 employees,2007,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,EAB,3.5
213,"Charlotte, NC",1001 to 5000 employees,2017,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,Brighthouse Financial,3.5
214,"Exton, PA",501 to 1000 employees,1937,Nonprofit Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"TruMark Financial, North Island Credit Union, CommunityAmerica Credit Union",Citadel Federal Credit Union,3.9
215,"Alexandria, VA",501 to 1000 employees,1989,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"CSC, Booz Allen Hamilton, ManTech",CALIBRE Systems,3.7
216,"Chicago, IL",10000+ employees,1928,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),"Cisco Systems, Huawei Technologies, IBM",Motorola Solutions,3.7
217,"Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1,Reynolds American,3.1
218,"Bengaluru, India",10000+ employees,1981,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Tata Consultancy Services, Accenture, Cognizant Technology Solutions",Infosys,3.0
219,"Orange, CA",501 to 1000 employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,Alignment Healthcare,3.5
220,"Chicago, IL",501 to 1000 employees,1973,Company - Public,Stock Exchanges,Finance,$500 million to $1 billion (USD),-1,Cboe Global Markets,3.7
221,"New York, NY",501 to 1000 employees,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",Guidepoint,3.2
222,"Concord, CA",201 to 500 employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1,Cerus Corporation,2.1
223,"Vail, CO",501 to 1000 employees,1966,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,Vail Health,3.7
224,"Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",AstraZeneca,3.9
225,"Natick, MA",1001 to 5000 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),-1,MathWorks,4.4
226,"Reston, VA",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,MetroStar Systems,3.4
227,"San Francisco, CA",201 to 500 employees,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"BioMarin Pharmaceutical, Sangamo Therapeutics, bluebird bio",Audentes Therapeutics,2.9
228,"Richfield, OH",501 to 1000 employees,1989,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,National Interstate,3.3
229,"Indianapolis, IN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,Moser Consulting,4.5
230,"Cambridge, MA",1 to 50 employees,1976,Company - Private,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable,-1,Mcphail Associates,3.3
231,"San Diego, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),-1,Crown Bioscience,2.4
232,"San Francisco, CA",51 to 200 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,HOVER,4.8
233,"Morrisville, NC",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,Q2 Solutions,2.9
234,"Quincy, MA",1001 to 5000 employees,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,Arbella Insurance,3.4
235,"San Mateo, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,Kronos Bio,-1.0
236,"Green Bay, WI",1001 to 5000 employees,1870,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD),"Wells Fargo, BMO Harris Bank, U.S. Bank",Associated Banc-Corp,3.8
237,"Daly City, CA",5001 to 10000 employees,1990,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Avaya, Five9, Salesforce",Genesys,4.3
238,"New York, NY",201 to 500 employees,2010,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),"YOOX NET-A-PORTER GROUP, Farfetch, MATCHESFASHION",Moda Operandi,1.9
239,"Visalia, CA",51 to 200 employees,1972,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),-1,QK,4.7
240,"Madrid, Spain",10000+ employees,1856,Company - Private,Banks & Credit Unions,Finance,$10+ billion (USD),-1,Santander,3.1
241,"Franklin, TN",501 to 1000 employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,Tivity Health,3.4
242,"Washington, DC",51 to 200 employees,2004,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,BRMi,4.4
243,"Orlando, FL",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,Luminar Technologies,3.9
244,"Jacksonville, FL",501 to 1000 employees,1995,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,"Emtec, Inc.",3.9
245,"Columbia, MO",1001 to 5000 employees,2002,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,Veterans United Home Loans,4.7
246,"Austin, TX",51 to 200 employees,2010,Company - Private,Security Services,Business Services,$10 to $25 million (USD),-1,Praetorian,4.7
247,"Cambridge, MA",501 to 1000 employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),-1,Agios Pharmaceuticals,3.8
248,"Mill Valley, CA",1001 to 5000 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Indeed, LinkedIn",Glassdoor,4.0
249,"New York, NY",10000+ employees,1978,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"Asurion, SquareTrade, National General Insurance",Assurant,3.4
250,"Des Moines, IA",201 to 500 employees,-1,Subsidiary or Business Segment,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,F&G,3.7
251,"Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),-1,GreatAmerica Financial Services,4.6
252,"Cambridge, MA",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,Acceleron Pharma,4.4
253,"Philadelphia, PA",5001 to 10000 employees,1983,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),"UnitedHealth Group, Molina Healthcare, Centene",AmeriHealth Caritas,3.0
254,"Los Angeles, CA",51 to 200 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,Strategic Employment Partners,4.7
255,"Englewood, CO",10000+ employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Dignity Health, Trinity Health",Catholic Health Initiatives,3.2
256,"Peachtree Corners, GA",5001 to 10000 employees,2000,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1,FLEETCOR,2.7
257,"Austin, TX",501 to 1000 employees,-1,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,-1,Applied Research Laboratories,3.7
258,"Waltham, MA",10000+ employees,1922,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,Raytheon,3.7
259,"Research Triangle Park, NC",1001 to 5000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Westat, Abt Associates, Chemonics International",RTI International,4.3
260,"Fort Lee, NJ",1001 to 5000 employees,1989,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,TRANZACT,3.6
261,"Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covance, ICON",United BioSource,2.1
262,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,Figure Eight,3.9
263,"Arlington, VA",51 to 200 employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),-1,Royce Geospatial,5.0
264,"New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,Citi,3.6
265,"San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,Sage Intacct,4.7
266,"San Francisco, CA",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Scale AI,3.5
267,"Nashville, TN",10000+ employees,2007,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,Change Healthcare,2.7
268,"Palo Alto, CA",501 to 1000 employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,MZ,3.4
269,"Santa Barbara, CA",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,HG Insights,4.7
270,"Carle Place, NY",1001 to 5000 employees,1976,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD),-1,"1-800-FLOWERS.COM, Inc.",2.8
271,"San Francisco, CA",1001 to 5000 employees,1992,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),"NBCUniversal, Comcast, Netflix",CBS Interactive,3.5
272,"Mountain View, CA",1001 to 5000 employees,1988,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),"Sony, LG Electronics, Nokia",Samsung Research America,3.7
273,"Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,Lorven Technologies Inc,4.0
274,"Brisbane, CA",1 to 50 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Sequenom,CareDx,2.5
275,"Baltimore, MD",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,Serigor Inc.,3.9
276,"Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,Leidos,3.4
277,"Brea, CA",10000+ employees,1935,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Abbott Laboratories, Roche, Thermo Fisher Scientific",Beckman Coulter Diagnostics,3.6
278,"London, United Kingdom",10000+ employees,2016,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),"Thomson Reuters, International Data Group",IHS Markit,3.5
279,"Noida, India",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,ALIN,-1.0
280,"Canton, MI",51 to 200 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD),-1,e-IT Professionals Corp.,3.5
281,"North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,TechProjects,4.8
282,"New York, NY",201 to 500 employees,2007,Company - Private,Lending,Finance,$100 to $500 million (USD),"Fundera, Bond Street, OnDeck",Biz2Credit Inc,4.0
283,"Holyoke, MA",201 to 500 employees,1885,Company - Private,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1,PeoplesBank,4.2
284,"Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",Capgemini,3.8
285,"New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",GNY Insurance Companies,3.7
286,"Memphis, TN",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,"Conch Technologies, Inc",4.6
287,"New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle,Medidata Solutions,4.3
288,"New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Quartet Health,3.9
289,"New York, NY",1001 to 5000 employees,2006,School / School District,K-12 Education,Education,$100 to $500 million (USD),-1,Success Academy Charter Schools,3.1
290,"New York, NY",1 to 50 employees,1980,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),"The Execu|Search Group, Prime Staffing",AXION Healthcare Solutions,3.6
291,"New York, NY",51 to 200 employees,2012,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,"Harvard Business School, Coursera, edX",ExecOnline,4.2
292,"Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek",Mteq,4.0
293,"Reston, VA",201 to 500 employees,2006,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,Brillient,3.7
294,"Palo Alto, CA",1 to 50 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,Entefy,4.4
295,"Irvine, CA",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD),"World Wide Technology, Presidio, Optiv",Trace3,3.4
296,"Campbell, CA",501 to 1000 employees,1997,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Accenture, Deloitte, IBM",Saama Technologies Inc,3.5
297,"New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,Two Sigma,4.4
298,"New York, NY",501 to 1000 employees,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,"National Debt Relief, Freedom Financial Network",Strategic Financial Solutions,4.0
299,"Norwalk, CT",201 to 500 employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Healthfirst (New York), naviHealth","Remedy BPCI Partners, LLC.",3.4
300,"San Francisco, CA",501 to 1000 employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Granular, Intuit, John Deere",The Climate Corporation,3.2
301,"New York, NY",201 to 500 employees,2005,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,Crossix Solutions,3.5
302,"Brentford, United Kingdom",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, AstraZeneca, Merck",GSK,3.9
303,"Los Angeles, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Foursquare,Factual,4.3
304,"Dublin, CA",1001 to 5000 employees,1988,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),"Paychex, Insperity, ADP",TriNet,3.3
305,"New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,Signpost,3.9
306,"San Jose, CA",10000+ employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),"Apple, Microsoft",Adobe,4.0
307,"Indianapolis, IN",1001 to 5000 employees,2004,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,Equian LLC,3.2
308,"New York, NY",1001 to 5000 employees,1975,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Qlik, Tableau Software, Informatica",Information Builders,3.2
309,"Tampa, FL",1001 to 5000 employees,1977,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"eClinicalWorks, NextGen Healthcare, athenahealth",Greenway Health,3.0
310,"Mountain View, CA",501 to 1000 employees,2014,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,Confluent,4.7
311,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,Life360,3.9
312,"Durham, NC",10000+ employees,2017,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),"PPD, INC Research, PRA Health Sciences",IQVIA,3.6
313,"Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),-1,Riverside Research Institute,3.6
314,"Logan, UT",1001 to 5000 employees,1977,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),"Life Fitness, Brooks Running, Under Armour",Icon Health and Fitness,3.1
315,"Birmingham, AL",501 to 1000 employees,2014,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,-1,Shipt,3.8
316,-1,-1,-1,-1,-1,-1,-1,-1,Monte Rosa Therapeutics,-1.0
317,"Chandler, AZ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,IntraEdge,3.4
318,"Bloomington, IL",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"Northwestern Mutual, American Family Insurance, MetLife",COUNTRY Financial,3.8
319,"Wilsonville, OR",5001 to 10000 employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Cadence Design Systems, Synopsys, Altium Limited",Mentor Graphics,4.1
320,"Westminster, CO",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,Maxar Technologies,3.7
321,"San Diego, CA",501 to 1000 employees,1972,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),"Liberty Mutual Insurance, EMPLOYERS, Travelers",ICW Group,2.8
322,"Alameda, CA",501 to 1000 employees,1994,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Genentech, Novartis, AstraZeneca",Exelixis,3.0
323,"San Francisco, CA",501 to 1000 employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,Grand Rounds,4.2
324,"Chicago, IL",201 to 500 employees,1995,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,"SPINS, LLC",3.5
325,"New York, NY",1001 to 5000 employees,1973,Company - Private,Brokerage Services,Finance,$1 to $2 billion (USD),-1,DTCC,3.3
326,"Roanoke, VA",10000+ employees,1899,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,Carilion Clinic,3.7
327,"New York, NY",201 to 500 employees,2008,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,DoubleVerify,3.2
328,"Cambridge, MA",51 to 200 employees,1991,Subsidiary or Business Segment,Research & Development,Business Services,$5 to $10 million (USD),"Google, Amazon, NVIDIA",Mitsubishi Electric Research Labs,4.6
329,"San Francisco, CA",501 to 1000 employees,2002,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable,-1,"Rodan and Fields, LLC",2.2
330,"Seattle, WA",501 to 1000 employees,1979,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),-1,DESC,3.4
331,"Baltimore, MD",1001 to 5000 employees,1889,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),"MedStar Health, University of Maryland Medical Center, LifeBridge Health",Johns Hopkins Health Care,3.3
332,"Phila, PA",201 to 500 employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,Community Behavioral Health,3.7
333,"Watertown, MA",51 to 200 employees,2008,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,FORMA THERAPEUTICS,3.8
334,"Los Angeles, CA",1 to 50 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Bridg,2.7
335,"North Salt Lake, UT",1 to 50 employees,-1,School / School District,K-12 Education,Education,$5 to $10 million (USD),-1,Charter Spectrum,3.5
336,"Houston, TX",51 to 200 employees,1997,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,CompQsoft,3.4
337,"Brea, CA",201 to 500 employees,1969,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Solugenix Corporation,4.3
338,"Irvine, CA",10000+ employees,1997,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable,-1,West Coast University,2.6
339,"Paris, France",201 to 500 employees,2005,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$25 to $50 million (USD),-1,SoftBank Robotics,3.8
340,"Ann Arbor, MI",51 to 200 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,SkySync,5.0
